id,user_name,first_name,last_name,reports_to_id,title,department,is_manager,lotus_notes_id,alt_language_first_name,alt_language_last_name,status,sfa_role,user_job_role,user_job_role_skill_set,visibility_tier1,visibility_tier2,address_country,access_level
"-050B2866","uk02@tst.ibm.com","uk02","buk02",,,,0,,,,"Active",1,,,"Your Territory","Your IMT/GMT","GB",
"-0505K754","ie01@tst.ibm.com","ie01","bie01",,,,0,,,,"Active",2,,,"Your Territory","Your IMT/GMT","IE",
"-050B3866","uk03@tst.ibm.com","uk03","buk03",,,,0,,,,"Active",1,,,"Your Territory","Your IMT/GMT","GB",
"-0501D756","il01@tst.ibm.com","il01","bil01",,,,0,,,,"Active",1,,,"Your Territory","Your IMT/GMT","IL",
"-0505L754","ie02@tst.ibm.com","ie02","bie02",,,,0,,,,"Active",1,,,"Your Territory","Your IMT/GMT","IE",
"-050BW866","EU01SC@tst.ibm.com","EU01SC","SCActive",,,,0,"EU01SC/UK/IBM@",,,"Active",1,,,"Your Territory","Your IMT/GMT","GB",
"-05008759","jm01@tst.ibm.com","jm01","bjm01",,,,0,,,,"Active",1,,,"Your Territory","Your IMT/GMT","JM",
"-0509V616","au01@tst.ibm.com","au01","bau01",,,,0,,,,"Active",1,,,"Your Territory","Your IMT/GMT","AU",
"-05009759","jm02@tst.ibm.com","jm02","bjm02",,,,0,,,,"Active",1,,,"Your Territory","Your IMT/GMT","JM",
"-055I8897","us01@tst.ibm.com","us01","bus01",,,,0,,,,"Active",2,,,"Your Territory","Your IMT/GMT","US",
"-05029613","ar01@tst.ibm.com","ar01","bar01",,,,0,,,,"Active",2,,,"Your Territory","Your IMT/GMT","AR",
"-055IA897","us03@tst.ibm.com","us03","bus03",,,,0,,,,"Active",1,,,"Your Territory","Your IMT/GMT","US",
"-055VC897","JacobSC@tst.ibm.com","JacobSC","SCActive",,,,0,,,,"Active",1,,,"Your Territory","Your IMT/GMT","US",
"-05074760","AP01SC@tst.ibm.com","AP01SC","SCActive",,,,0,"AP01SC/JP/IBM@",,,"Active",1,,,"Your Territory","Your IMT/GMT","JP",
"-0509W616","au02@tst.ibm.com","au02","bau02",,,,0,,,,"Active",1,,,"Your Territory","Your IMT/GMT","AU",
"-05397744","in01@tst.ibm.com","in01","bin01",,,,0,,,,"Active",1,,,"Your Territory","Your IMT/GMT","IN",
"-051G8672","cn01@tst.ibm.com","cn01","bcn01",,,,0,,,,"Active",1,,,"Your Territory","Your IMT/GMT","CN",
"-055I9897","us02@tst.ibm.com","us02","bus02",,,,0,,,,"Active",1,,,"Your Territory","Your IMT/GMT","US",
"-055IB897","us04@tst.ibm.com","us04","bus04",,,,0,,,,"Active",1,,,"Your Territory","Your IMT/GMT","US",
"-05075760","AP02SC@tst.ibm.com","AP02SC","SCActive",,,,0,"AP02SC/JP/IBM@",,,"Active",1,,,"Your Territory","Your IMT/GMT","JP",
"-0509X616","au03@tst.ibm.com","au03","bau03",,,,0,,,,"Active",1,,,"Your Territory","Your IMT/GMT","AU",
"-051G9672","cn02@tst.ibm.com","cn02","bcn02",,,,0,,,,"Active",1,,,"Your Territory","Your IMT/GMT","CN",
"-055IC897","us05@tst.ibm.com","us05","bus05",,,,0,,,,"Active",1,,,"Your Territory","Your IMT/GMT","US",
"-055VE897","MichaelSC@tst.ibm.com","MichaelSC","SCActive",,,,0,,,,"Active",1,,,"Your Territory","Your IMT/GMT","US",
"-05023848","EU02SC@tst.ibm.com","EU02SC","SCActive",,,,0,"EU02SC/CH/IBM@",,,"Active",1,,,"Your Territory","Your IMT/GMT","CH",
"-050B1866","uk01@tst.ibm.com","uk01","buk01",,,,0,,,,"Active",2,,,"Your Territory","Your IMT/GMT","GB",
"-054LE897","test01@tst.ibm.com","Test01","Fest01",,,,0,,,,"Active",1,,,"Your Territory","Your IMT/GMT","US",
"-054LF897","test02@tst.ibm.com","Test02","Fest02",,,,0,,,,"Active",2,,,"Your Territory","Your IMT/GMT","US",
"-054LG897","test03@tst.ibm.com","Test03","Fest03",,,,0,,,,"Active",3,,,"Your Territory","Your IMT/GMT","US",
"-054LH897","test04@tst.ibm.com","Test04","Fest04",,,,0,,,,"Active",4,,,"Your Territory","Your IMT/GMT","US",
"-054LI897","test05@tst.ibm.com","Test05","Fest05",,,,0,,,,"Active",5,,,"Your Territory","Your IMT/GMT","US",
"-054LJ897","test06@tst.ibm.com","Test06","Fest06",,,,0,,,,"Active",6,,,"Your Territory","Your IMT/GMT","US",
"-054LK897","test07@tst.ibm.com","Test07","Fest07",,,,"0",,,,"Active",7,,,"Your Territory","Your IMT/GMT","US",
"-054LL897","test08@tst.ibm.com","Test08","Fest08",,,,"0",,,,"Active",1,,,"Your Territory","Your IMT/GMT","US",
"-054LM897","test09@tst.ibm.com","Test09","Fest09",,,,"0",,,,"Active",1,,,"Your Territory","Your IMT/GMT","US",
"-054LN897","test10@tst.ibm.com","Test10","Fest10",,,,"0",,,,"Active",1,,,"Your Territory","Your IMT/GMT","US",
"-054LP897","test12@tst.ibm.com","Test12","Fest12",,,,"0",,,,"Active",1,,,"Your Territory","Your IMT/GMT","US",
"-054LQ897","test13@tst.ibm.com","Test13","Fest13",,,,"0",,,,"Active",1,,,"Your Territory","Your IMT/GMT","US",
"-054LR897","test14@tst.ibm.com","Test14","Fest14",,,,"0",,,,"Active",1,,,"Your Territory","Your IMT/GMT","US",
"-054LS897","test15@tst.ibm.com","Test15","Fest15",,,,"0",,,,"Active",1,,,"Your Territory","Your IMT/GMT","US",
"-054LU897","test17@tst.ibm.com","Test17","Fest17",,,,"0",,,,"Active",2,,,"Your Territory","Your IMT/GMT","US",
"-054LV897","test18@tst.ibm.com","Test18","Fest18",,,,"0",,,,"Active",1,,,"Your Territory","Your IMT/GMT","US",
"-054LW897","test19@tst.ibm.com","Test19","Fest19",,,,"0",,,,"Active",1,,,"Your Territory","Your IMT/GMT","US",
"-054LX897","test20@tst.ibm.com","Test20","Fest20",,,,"0",,,,"Active",1,,,"Your Territory","Your IMT/GMT","US",
